what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1358430133289
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1358430133457
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1358430174858
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1358430174955
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1358430194603
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1358430291282
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1358430291394
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1358430293286
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1358430319690
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1358430377137
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1358430383528
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1358430385986
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1358430423973
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1358430424042
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1358430430569
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1358430430668
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1358430439893
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1358430441482
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1358430452355
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1358430474007
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1358430475106
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1358430476059
started,bundle,org.eclipse.debug.ui,3.7.0.v20110518,"org.eclipse.debug.ui",1358430478210
started,bundle,org.eclipse.cdt.debug.core,7.1.0.201106081058,"org.eclipse.cdt.debug.core",1358430478370
started,bundle,org.eclipse.cdt.debug.ui,7.1.0.201106081058,"org.eclipse.cdt.debug.ui",1358430478401
started,bundle,org.eclipse.tm.tcf,0.4.0.201106081058,"org.eclipse.tm.tcf",1358430478570
started,bundle,org.eclipse.tm.tcf.core,0.4.0.201106081058,"org.eclipse.tm.tcf.core",1358430478574
started,bundle,org.eclipse.tm.tcf.debug.ui,0.4.0.201106081058,"org.eclipse.tm.tcf.debug.ui",1358430478575
started,bundle,org.eclipse.tm.tcf.cdt.ui,0.4.0.201106081058,"org.eclipse.tm.tcf.cdt.ui",1358430478595
started,bundle,org.eclipse.jdt.debug,3.7.0.v20110509,"org.eclipse.jdt.debug",1358430478705
started,bundle,org.eclipse.jdt.debug.ui,3.6.0.v20110512,"org.eclipse.jdt.debug.ui",1358430479172
started,bundle,org.eclipse.tm.tcf.debug,0.4.0.201106081058,"org.eclipse.tm.tcf.debug",1358430479366
executed,command,org.eclipse.debug.ui,3.7.0.v20110518,"org.eclipse.debug.ui.commands.DebugLast",1358430479816
started,bundle,org.eclipse.m2e.launching,1.0.0.20110607-2117,"org.eclipse.m2e.launching",1358430481309
started,bundle,org.python.pydev.core,2.2.0.2011062419,"org.python.pydev.core",1358430481594
started,bundle,org.python.pydev.debug,2.2.0.2011062419,"org.python.pydev.debug",1358430481597
activated,view,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.PackageExplorer",1358430491010
executed,command,org.eclipse.jdt.debug.ui,3.6.0.v20110512,"org.eclipse.jdt.debug.ui.localJavaShortcut.run",1358430495114
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1358430499791
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1358430508634
executed,command,org.eclipse.jdt.debug.ui,3.6.0.v20110512,"org.eclipse.jdt.debug.ui.localJavaShortcut.run",1358430524472
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1358430531528
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1358430542787
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1358430544343
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1358430559062
activated,view,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.PackageExplorer",1358430561296
executed,command,org.eclipse.jdt.debug.ui,3.6.0.v20110512,"org.eclipse.jdt.debug.ui.localJavaShortcut.run",1358430563885
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1358430564693
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1358430578471
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1358430769939
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1358430831800
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1358430837416
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1358430881532
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1358430931965
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1358430932032
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1358430934057
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1358430961498
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1358430966622
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1358430966747
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1358430975636
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1358430994880
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1358431015833
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1358431023538
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1358431060998
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1358431062345
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1358431062728
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1358431098429
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1358431104307
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1358431249885
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1358431260009
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1358431260324
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1358431267904
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1358431268381
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1358431273258
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1358431516113
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1358431524594
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1358431773157
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1358431844493
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1358431875086
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1358431886455
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1358431888950
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1358431898482
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1358431898607
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.text.contentAssist.proposals",1358431919447
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1358431938910
executed,command,org.eclipse.debug.ui,3.7.0.v20110518,"org.eclipse.debug.ui.commands.DebugLast",1358431940152
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1358431940226
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1358431941834
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1358431943154
opened,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1358431943410
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1358431943457
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1358431943469
started,bundle,org.eclipse.cdt.debug.mi.ui,6.1.0.201106081058,"org.eclipse.cdt.debug.mi.ui",1358431943511
started,bundle,org.eclipse.cdt.dsf,2.2.0.201106081058,"org.eclipse.cdt.dsf",1358431943560
started,bundle,org.eclipse.cdt.dsf.gdb,4.0.0.201106081058,"org.eclipse.cdt.dsf.gdb",1358431943560
started,bundle,org.eclipse.cdt.dsf.gdb.ui,2.2.0.201106081058,"org.eclipse.cdt.dsf.gdb.ui",1358431943561
started,bundle,com.python.pydev.analysis,2.2.0.2011062419,"com.python.pydev.analysis",1358431943736
started,bundle,org.python.pydev,2.2.0.2011062419,"org.python.pydev",1358431943755
started,bundle,org.eclipse.cdt.debug.mi.core,7.1.0.201106081058,"org.eclipse.cdt.debug.mi.core",1358431943791
error,log,,,"Server returned HTTP response code: 500 for URL: https://ping.aptana.com/ping.php",1358431944401
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1358432000094
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1358432016917
executed,command,org.eclipse.debug.ui,3.7.0.v20110518,"org.eclipse.debug.ui.commands.DebugLast",1358432018364
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1358432018739
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1358432018947
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1358432018969
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1358432114200
